敝绨恶粟,敝衣粝食
对答如流,滔滔不绝
分袂,辞别
分别,辩别
编织,编造
探渊索珠,探骊获珠
出错,堕落
摆列,陈设
反经从权,反经行权
同心协力,通力合作
羝羊絓棘,羝羊触藩
多如牛毛,成千上万
唾面自干,犯而不校
差池,舛错
不及,不足
繁芜,错乱
分毫不爽,分毫无爽
创新,翻新
弹无虚发,百发百中
不拘小节,不衫不履
敦厚,诚实
背井离乡,荡析离居
发布,颁布
同僚,同寅
倒果为因,颠倒是非
别有风味,别饶风趣
暴风骤雨,风雨如磐
多嘴,插嗫
不可同日而语,不可比拟
推陈出新,独辟蹊径
察看,查察
卑下,卑微
放荡不羁,放荡形骸
动乱,暴动
不置一词,不置可否
地方,场地
吐心吐胆,吐肝露胆
团员,团聚
反复不定,反复无常
持之以恒,铁杵成针
唾手可得,探囊取物
箪食瓢饮,粗茶淡饭
本子,簿子
腐败,退步
避实就虚,避难就易
悲啼,悲泣
副品,次品
奉侍,服侍
饿殍载道,饿莩载道
蜂拥而至,蜂拥而起
天生,天禀
番来覆去,翻来覆去
病从口入,病由口入
承上启下,承先启后
分割,分裂
反对,驳斥
报仇,报复
愕然,诧异
出尔反尔,反复无常
不护细行,不拘小节
楚才晋用,楚材晋用
统率,统领
分说,辩白
提防,防卫
同族,同胞
繁华,蕃昌
佛口蛇心,刀头之蜜
体系,编制
帮助,帮忙
吃里扒外,吃里爬外
风吹浪打,风吹雨打
发屋,发廊
担任,担纲
差池,舛讹
笔挺,笔直
促膝谈心,把臂而谈
昌隆,繁盛
叮咛,吩咐
保证,担保
风俗,风尚
白痴,蠢才
不慌不忙,从从容容
天从人愿,天随人愿
探望,探问
反面,背面
不易之论,天经地义
唾骂,诋毁
吐露,表示
烦琐,繁杂
打抱不平,抱打不平
嘟嘟哝哝,嘟嘟囔囔
恩义,恩德
不仅,不但
承上启下,承前启后
常年累月,长年累月
不知世务,不识时务
丰富,充分
打听,探询
吞没,沉没
褒衣博带,褒衣危冠
腹背受敌,表里受敌
才干,才调
反水不收,覆水难收
半信不信,半信半疑
东冲西突,东征西讨
策动,策画
奉令惟谨,奉命唯谨
负才任气,负才使气
白晃晃,白茫茫
多如牛毛,斗量车载
吹大法螺,大吹法螺
分形共气,分形同气
提心吊胆,提心在口
迟缓,迟钝
丰产,丰收
别出新裁,独具匠心
不悦,不满
分开,分裂
变化多端,变幻无穷
层见叠出,层见错出
悲惨,痛苦
藏形匿影,躲躲闪闪
帮助,辅助
听从,听命
摧枯折腐,摧枯拉腐
拜望,探访
低贱,卑下
充实,富饶
出格,非常
推辞,退却
挑拨是非,搬弄是非
抱瓮出灌,抱瓮灌园
冰炭不同器,冰炭不相容
犯得着,犯的上
唇枪舌剑,短兵相接
粉妆玉琢,粉妆玉砌
倒三颠四,颠三倒四
抵牾,抵触
愁眉锁眼,蹙额愁眉
餐风宿雨,餐风宿露
甜言美语,甜语花言
同心协力,同心同德
大年夜,除夜
提纲挈领,提纲振领
臭不可当,臭不可闻
大直若屈,大直若屈
不可或缓,趁热打铁
胆战心惊,胆颤心惊
充分,富裕
掂斤估两,掂斤抹两
发愤忘食,废寝忘食
抬高,提升
恬澹,淡泊
不尴不尬,不间不界
表扬,褒扬
表现,表示
背山起楼,背山造屋
统统,通通
场所,处所
冁然一笑,冁然而笑
乘鸾跨凤,乘鸾配凤
砥节奉公,砥节守公
不光,不只
道同义合,道同志合
白天,白昼
查办,查究
鲍鱼之次,鲍鱼之肆
杜门不出,闭门不出
触景伤情,触景生情
推翻,撤销
繁盛,蕃昌
跌宕,跌荡
博学强记,博览群书
打消,裁撤
舛讹,错误
到达,抵达
超脱,超逸
复兴,复原
楚楚动人,楚楚可人
反老还童,长生不老
差错,错误
打算,策动
八窗玲珑,八面玲珑
奔腾,奔跑
出奇制胜,出奇致胜
动荡,荡漾
调动,调节
褫职,除名
吃白食,吃白饭
大方,标志
堆金叠玉,堆金积玉
悱恻缠绵,缠绵悱恻
动员,带动
多数,大批
